year,geo,disagg,value
2000,WLD,Total,126
2001,WLD,Total,128
2002,WLD,Total,132
2003,WLD,Total,139
2004,WLD,Total,143
2005,WLD,Total,146
2006,WLD,Total,152
2007,WLD,Total,157
2008,WLD,Total,158
2009,WLD,Total,161
2010,WLD,Total,162
2011,WLD,Total,163
2012,WLD,Total,165
2013,WLD,Total,166
2014,WLD,Total,171
2015,WLD,Total,175
2016,WLD,Total,175
2017,WLD,Total,176
2018,WLD,Total,180
2019,WLD,Total,179
2020,WLD,Total,179
2021,WLD,Total,180
2022,WLD,Total,183
2023,WLD,Total,181
2024,WLD,Total,181
2025,WLD,Total,182
2000,WLD,Taxes,57
2001,WLD,Taxes,59
2002,WLD,Taxes,61
2003,WLD,Taxes,61
2004,WLD,Taxes,65
2005,WLD,Taxes,66
2006,WLD,Taxes,70
2007,WLD,Taxes,73
2008,WLD,Taxes,74
2009,WLD,Taxes,76
2010,WLD,Taxes,76
2011,WLD,Taxes,76
2012,WLD,Taxes,78
2013,WLD,Taxes,78
2014,WLD,Taxes,81
2015,WLD,Taxes,83
2016,WLD,Taxes,83
2017,WLD,Taxes,84
2018,WLD,Taxes,86
2019,WLD,Taxes,84
2020,WLD,Taxes,84
2021,WLD,Taxes,84
2022,WLD,Taxes,86
2023,WLD,Taxes,84
2024,WLD,Taxes,84
2025,WLD,Taxes,85
2000,WLD,Fees,69
2001,WLD,Fees,69
2002,WLD,Fees,71
2003,WLD,Fees,78
2004,WLD,Fees,78
2005,WLD,Fees,80
2006,WLD,Fees,82
2007,WLD,Fees,84
2008,WLD,Fees,84
2009,WLD,Fees,85
2010,WLD,Fees,86
2011,WLD,Fees,87
2012,WLD,Fees,87
2013,WLD,Fees,88
2014,WLD,Fees,90
2015,WLD,Fees,92
2016,WLD,Fees,92
2017,WLD,Fees,92
2018,WLD,Fees,94
2019,WLD,Fees,95
2020,WLD,Fees,95
2021,WLD,Fees,96
2022,WLD,Fees,97
2023,WLD,Fees,97
2024,WLD,Fees,97
2025,WLD,Fees,97
