year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,WLD,17.95,,,,
2001,WLD,17.67,,,,
2002,WLD,17.45,,,,
2003,WLD,17.85,,,,
2004,WLD,18.35,,,,
2005,WLD,18.56,,,,
2006,WLD,18.85,,,,
2007,WLD,19.25,,,,
2008,WLD,19.62,,,,
2009,WLD,19.84,,,,
2010,WLD,19.93,,,,
2011,WLD,19.84,,,,
2012,WLD,19.63,,,,
2013,WLD,20.46,,,,
2014,WLD,21.3,,,,
2015,WLD,21.85,,,,
2016,WLD,22.67,,,,
2017,WLD,23.73,,,,
2018,WLD,24.65,,,,
2019,WLD,24.9,,,,
2020,WLD,26.07,,,,
2021,WLD,26.72,,,,
2030,WLD,,33.38,,,
