year,geo,value
1975,ARG,7742
1980,ARG,8125
1985,ARG,8352
1990,ARG,8587
1995,ARG,8595
2000,ARG,8641
2005,ARG,8768
2010,ARG,8954
2015,ARG,8963
2020,ARG,8920
2023,ARG,8945
2024,ARG,8954
2025,ARG,8963
1975,CHL,6984
1980,CHL,7985
1985,CHL,8789
1990,CHL,9453
1995,CHL,9695
2000,CHL,10116
2005,CHL,10068
2010,CHL,10283
2015,CHL,10779
2020,CHL,11686
2023,CHL,11906
2024,CHL,11980
2025,CHL,12053
1975,URY,9266
1980,URY,9337
1985,URY,9400
1990,URY,9365
1995,URY,9292
2000,URY,9041
2005,URY,8801
2010,URY,8741
2015,URY,8679
2020,URY,8428
2023,URY,8259
2024,URY,8202
2025,URY,8146
1975,PRY,3772
1980,PRY,3967
1985,PRY,4169
1990,PRY,4361
1995,PRY,4495
2000,PRY,4730
2005,PRY,4989
2010,PRY,5012
2015,PRY,4737
2020,PRY,4094
2023,PRY,3822
2024,PRY,3731
2025,PRY,3641
1975,BOL,4788
1980,BOL,5098
1985,BOL,5452
1990,BOL,5980
1995,BOL,6347
2000,BOL,6862
2005,BOL,7042
2010,BOL,7153
2015,BOL,7383
2020,BOL,8018
2023,BOL,8317
2024,BOL,8417
2025,BOL,8517
1975,BRA,6373
1980,BRA,7529
1985,BRA,8115
1990,BRA,8766
1995,BRA,9364
2000,BRA,9970
2005,BRA,10374
2010,BRA,10799
2015,BRA,11239
2020,BRA,11543
2023,BRA,11687
2024,BRA,11735
2025,BRA,11784
1975,NZL,1438
1980,NZL,1517
1985,NZL,1581
1990,NZL,1686
1995,NZL,1936
2000,NZL,2129
2005,NZL,2370
2010,NZL,2531
2015,NZL,2762
2020,NZL,3219
2023,NZL,3349
2024,NZL,3393
2025,NZL,3436
1975,GAB,1571
1980,GAB,2278
1985,GAB,2701
1990,GAB,3206
1995,GAB,3807
2000,GAB,4238
2005,GAB,4561
2010,GAB,4983
2015,GAB,5492
2020,GAB,7162
2023,GAB,7415
2024,GAB,7500
2025,GAB,7585
1975,FRA,9745
1980,FRA,9852
1985,FRA,10107
1990,FRA,10431
1995,FRA,10532
2000,FRA,10694
2005,FRA,11027
2010,FRA,11376
2015,FRA,11622
2020,FRA,11656
2023,FRA,11779
2024,FRA,11820
2025,FRA,11861
1975,GNQ,2161
1980,GNQ,2264
1985,GNQ,2479
1990,GNQ,2915
1995,GNQ,3972
2000,GNQ,6926
2005,GNQ,6904
2010,GNQ,6974
2015,GNQ,8006
2020,GNQ,15511
2023,GNQ,16672
2024,GNQ,17061
2025,GNQ,17450
1975,LBR,1411
1980,LBR,1802
1985,LBR,2612
1990,LBR,5394
1995,LBR,2398
2000,LBR,4361
2005,LBR,6281
2010,LBR,5450
2015,LBR,6615
2020,LBR,7835
2023,LBR,8601
2024,LBR,8857
2025,LBR,9112
1975,CMR,4445
1980,CMR,5213
1985,CMR,6173
1990,CMR,7420
1995,CMR,8915
2000,CMR,10811
2005,CMR,12754
2010,CMR,15048
2015,CMR,18195
2020,CMR,22438
2023,CMR,25336
2024,CMR,26307
2025,CMR,27279
1975,PER,7785
1980,PER,9188
1985,PER,10375
1990,PER,11448
1995,PER,12013
2000,PER,12387
2005,PER,12888
2010,PER,13559
2015,PER,14584
2020,PER,15689
2023,PER,16249
2024,PER,16435
2025,PER,16622
1975,ECU,5024
1980,ECU,6181
1985,ECU,7344
