year,geo,disagg_type,disagg,value
2000,WLD,All,Total,1.1
2001,WLD,All,Total,1.2
2002,WLD,All,Total,1.2
2003,WLD,All,Total,1.2
2004,WLD,All,Total,1.2
2005,WLD,All,Total,1.3
2006,WLD,All,Total,2.3
2007,WLD,All,Total,2.6
2008,WLD,All,Total,2.6
2009,WLD,All,Total,2.7
2010,WLD,All,Total,3
2011,WLD,All,Total,3
2012,WLD,All,Total,3.4
2013,WLD,All,Total,3.5
2014,WLD,All,Total,3.9
2015,WLD,All,Total,4.1
2016,WLD,All,Total,4.7
2017,WLD,All,Total,6
2018,WLD,All,Total,7.2
2019,WLD,All,Total,7.5
2020,WLD,All,Total,8
2021,WLD,All,Total,8
2022,WLD,All,Total,8.3
2023,WLD,All,Total,8.4
2024,WLD,All,Total,8.5
2015,ALB,All,Total,1
2016,ALB,All,Total,2.7
2017,ALB,All,Total,2.7
2018,ALB,All,Total,2.7
2019,ALB,All,Total,2.8
2020,ALB,All,Total,2.8
2021,ALB,All,Total,2.8
2022,ALB,All,Total,2.8
2023,ALB,All,Total,2.8
2024,ALB,All,Total,3.4
2015,DZA,All,Total,0.1
2016,DZA,All,Total,0.1
2017,DZA,All,Total,0.1
2018,DZA,All,Total,0.1
2019,DZA,All,Total,0.1
2020,DZA,All,Total,0.1
2021,DZA,All,Total,0.1
2022,DZA,All,Total,0.1
2023,DZA,All,Total,0.1
2024,DZA,All,Total,0.1
2015,ASM,All,Total,8.7
2016,ASM,All,Total,8.7
2017,ASM,All,Total,8.7
2018,ASM,All,Total,8.7
2019,ASM,All,Total,8.7
2020,ASM,All,Total,0
2021,ASM,All,Total,8.7
2022,ASM,All,Total,8.7
2023,ASM,All,Total,8.7
2024,ASM,All,Total,8.7
2015,AGO,All,Total,0
2016,AGO,All,Total,0
2017,AGO,All,Total,0
2018,AGO,All,Total,0
2019,AGO,All,Total,0
2020,AGO,All,Total,0
2021,AGO,All,Total,0
2022,AGO,All,Total,0
2023,AGO,All,Total,0
2024,AGO,All,Total,0
2015,ATG,All,Total,0.2
2016,ATG,All,Total,0.2
2017,ATG,All,Total,0.2
2018,ATG,All,Total,0.2
2019,ATG,All,Total,0.2
2020,ATG,All,Total,0.3
2021,ATG,All,Total,0.3
2022,ATG,All,Total,0.3
2023,ATG,All,Total,0.3
2024,ATG,All,Total,0.7
2015,ARG,All,Total,4
2016,ARG,All,Total,4
2017,ARG,All,Total,4
2018,ARG,All,Total,3.8
2019,ARG,All,Total,12
2020,ARG,All,Total,12
2021,ARG,All,Total,12
2022,ARG,All,Total,12
2023,ARG,All,Total,12
2024,ARG,All,Total,12
2015,ABW,All,Total,0
2016,ABW,All,Total,0
2017,ABW,All,Total,0
2018,ABW,All,Total,0
2019,ABW,All,Total,0
2020,ABW,All,Total,0
2021,ABW,All,Total,0
2022,ABW,All,Total,0
2023,ABW,All,Total,0
2024,ABW,All,Total,0
2015,AUS,All,Total,43
2016,AUS,All,Total,41
2017,AUS,All,Total,41
2018,AUS,All,Total,41
2019,AUS,All,Total,41
2020,AUS,All,Total,41
2021,AUS,All,Total,44
2022,AUS,All,Total,44
2023,AUS,All,Total,44
2024,AUS,All,Total,45
2015,AZE,All,Total,0.4
2016,AZE,All,Total,0.4
2017,AZE,All,Total,0.4
2018,AZE,All,Total,0.4
2019,AZE,All,Total,0.4
2020,AZE,All,Total,0.4
2021,AZE,All,Total,0.4
2022,AZE,All,Total,0.4
2023,AZE,All,Total,0.4
2024,AZE,All,Total,1
2015,BHS,All,Total,0.6
2016,BHS,All,Total,0.6
2017,BHS,All,Total,7.9
2018,BHS,All,Total,7.9
2019,BHS,All,Total,7.9
2020,BHS,All,Total,7.9
2021,BHS,All,Total,7.9
2022,BHS,All,Total,7.9
2023,BHS,All,Total,7.9
2024,BHS,All,Total,7.7
2015,BHR,All,Total,1.2
2016,BHR,All,Total,1.2
2017,BHR,All,Total,1.2
2018,BHR,All,Total,1.2
2019,BHR,All,Total,1.2
2020,BHR,All,Total,1.2
2021,BHR,All,Total,1.2
2022,BHR,All,Total,21
2023,BHR,All,Total,21
2024,BHR,All,Total,21
2015,BGD,All,Total,5.4
2016,BGD,All,Total,5.4
2017,BGD,All,Total,5.4
2018,BGD,All,Total,5.4
2019,BGD,All,Total,5.4
2020,BGD,All,Total,5.4
2021,BGD,All,Total,5.4
2022,BGD,All,Total,5.4
2023,BGD,All,Total,8
2024,BGD,All,Total,8
2015,BRB,All,Total,0
2016,BRB,All,Total,0
2017,BRB,All,Total,0
2018,BRB,All,Total,0
2019,BRB,All,Total,0
2020,BRB,All,Total,0
2021,BRB,All,Total,0
2022,BRB,All,Total,0
2023,BRB,All,Total,0
2024,BRB,All,Total,0
2015,BEL,All,Total,37
2016,BEL,All,Total,37
2017,BEL,All,Total,37
2018,BEL,All,Total,37
2019,BEL,All,Total,37
2020,BEL,All,Total,37
2021,BEL,All,Total,38
2022,BEL,All,Total,38
2023,BEL,All,Total,38
2024,BEL,All,Total,38
2015,BLZ,All,Total,10
2016,BLZ,All,Total,10
2017,BLZ,All,Total,10
2018,BLZ,All,Total,10
2019,BLZ,All,Total,10
2020,BLZ,All,Total,11
2021,BLZ,All,Total,11
2022,BLZ,All,Total,11
2023,BLZ,All,Total,11
2024,BLZ,All,Total,20
2015,BEN,All,Total,0
2016,BEN,All,Total,0
2017,BEN,All,Total,0
2018,BEN,All,Total,0
2019,BEN,All,Total,0
2020,BEN,All,Total,0
2021,BEN,All,Total,0
2022,BEN,All,Total,0
2023,BEN,All,Total,0
2024,BEN,All,Total,0
2015,BMU,All,Total,0
2016,BMU,All,Total,0
2017,BMU,All,Total,0
2018,BMU,All,Total,0
2019,BMU,All,Total,0
2020,BMU,All,Total,0
2021,BMU,All,Total,0
2022,BMU,All,Total,0
2023,BMU,All,Total,0
2024,BMU,All,Total,0
2015,BIH,All,Total,0
2016,BIH,All,Total,0
2017,BIH,All,Total,0
2018,BIH,All,Total,0
2019,BIH,All,Total,0
2020,BIH,All,Total,0
2021,BIH,All,Total,0
2022,BIH,All,Total,0
2023,BIH,All,Total,0
2024,BIH,All,Total,0
2015,BRA,All,Total,1.6
2016,BRA,All,Total,1.7
2017,BRA,All,Total,1.7
2018,BRA,All,Total,27
2019,BRA,All,Total,27
2020,BRA,All,Total,27
2021,BRA,All,Total,27
2022,BRA,All,Total,27
2023,BRA,All,Total,27
2024,BRA,All,Total,27
2015,VGB,All,Total,0.1
2016,VGB,All,Total,0.1
2017,VGB,All,Total,0
2018,VGB,All,Total,0
2019,VGB,All,Total,0
2020,VGB,All,Total,0
2021,VGB,All,Total,0
2022,VGB,All,Total,0
2023,VGB,All,Total,0
2024,VGB,All,Total,0
2015,BRN,All,Total,0.2
2016,BRN,All,Total,0.2
2017,BRN,All,Total,0.2
2018,BRN,All,Total,0.2
2019,BRN,All,Total,0.2
2020,BRN,All,Total,0.2
2021,BRN,All,Total,0.2
2022,BRN,All,Total,0.2
2023,BRN,All,Total,0.2
2024,BRN,All,Total,0
2015,BGR,All,Total,8.1
2016,BGR,All,Total,8.1
2017,BGR,All,Total,8.1
2018,BGR,All,Total,8.1
2019,BGR,All,Total,8.1
2020,BGR,All,Total,8.1
2021,BGR,All,Total,8.1
2022,BGR,All,Total,8.1
2023,BGR,All,Total,8.1
2024,BGR,All,Total,8.2
2015,CPV,All,Total,0
2016,CPV,All,Total,0
2017,CPV,All,Total,0
2018,CPV,All,Total,0
2019,CPV,All,Total,0
2020,CPV,All,Total,0
2021,CPV,All,Total,0
