year,geo,value,,,,,,
2018,FIN,251240,,,,,,
2018,FJI,3668,,,,,,
2018,FRA,4880271,,,,,,
2018,GAB,5183,,,,,,
2018,GBR,434551,,,,,,
2018,GEO,467654,,,,,,
2018,GHA,30696,,,,,,
2018,GIN,111275,,,,,,
2018,GLP,2378,,,,,,
2018,GMB,2716,,,,,,
2018,GNB,28118,,,,,,
2018,GRC,2361806,,,,,,
2018,GRD,260,,,,,,
2018,GTM,149340,,,,,,
2018,GUF,2077,,,,,,
2018,GUM,376,,,,,,
2018,GUY,127240,,,,,,
2018,HND,84190,,,,,,
2018,HRV,16054,,,,,,
2018,HTI,118860,,,,,,
2018,HUN,539338,,,,,,
2018,IDN,4986813,,,,,,
2018,IND,63259465,,,,,,
2018,IRL,2154,,,,,,
2018,IRN,9294995,,,,,,
2018,IRQ,2849044,,,,,,
2018,ISR,273624,,,,,,
2018,ITA,6242009,,,,,,
2018,JAM,30500,,,,,,
2018,JOR,127439,,,,,,
2018,JPN,4346992,,,,,,
2018,KAZ,2829085,,,,,,
2018,KEN,119268,,,,,,
2018,KGZ,1815098,,,,,,
2018,KHM,478939,,,,,,
2018,KNA,6,,,,,,
2018,KOR,1207162,,,,,,
2018,KWT,9153,,,,,,
2018,LAO,400945,,,,,,
2018,LBN,184303,,,,,,
2018,LBR,2551,,,,,,
2018,LBY,607379,,,,,,
2018,LCA,357,,,,,,
2018,LKA,664005,,,,,,
2018,LSO,4228,,,,,,
2018,LTU,9152,,,,,,
2018,LUX,1292,,,,,,
2018,LVA,2514,,,,,,
2018,MAR,1983310,,,,,,
2018,MCO,233,,,,,,
2018,MDA,572800,,,,,,
2018,MDG,1147895,,,,,,
2018,MEX,8186366,,,,,,
2018,MKD,207691,,,,,,
2018,MLI,281549,,,,,,
2018,MLT,3011,,,,,,
2018,MMR,2029361,,,,,,
2018,MNE,14844,,,,,,
2018,MNG,104068,,,,,,
2018,MNP,36,,,,,,
2018,MOZ,157215,,,,,,
2018,MRT,93999,,,,,,
2018,MTQ,3610,,,,,,
2018,MUS,26343,,,,,,
2018,MWI,66961,,,,,,
2018,MYS,413747,,,,,,
2018,NAM,19115,,,,,,
2018,NER,90637,,,,,,
2018,NGA,348895,,,,,,
2018,NIC,69291,,,,,,
2018,NLD,919392,,,,,,
2018,NOR,314378,,,,,,
2018,NPL,1570333,,,,,,
2018,NZL,536068,,,,,,
2018,OMN,113349,,,,,,
2018,PAK,11370892,,,,,,
2018,PAN,37370,,,,,,
2018,PER,2025113,,,,,,
2018,PHL,1363324,,,,,,
2018,POL,256452,,,,,,
2018,PRI,45439,,,,,,
2018,PRK,2226725,,,,,,
2018,PRT,1221732,,,,,,
2018,PRY,77327,,,,,,
2018,PSE,81940,,,,,,
2018,QAT,16153,,,,,,
2018,REU,16235,,,,,,
2018,ROU,3657538,,,,,,
2018,RUS,6258556,,,,,,
2018,RWA,10301,,,,,,
2018,SAU,1995949,,,,,,
2018,SDN,1944404,,,,,,
2018,SEN,169970,,,,,,
2018,SLE,36215,,,,,,
2018,SLV,56370,,,,,,
2018,SMR,519,,,,,,
2018,SOM,233899,,,,,,
2018,SRB,257263,,,,,,
2018,SSD,5694,,,,,,
2018,STP,11298,,,,,,
2018,SUR,59977,,,,,,
