year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,WLD,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,WLD,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,WLD,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,WLD,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,WLD,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,WLD,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,WLD,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,WLD,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,WLD,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,WLD,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,WLD,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,WLD,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,WLD,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,WLD,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,WLD,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,WLD,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,WLD,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,WLD,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,WLD,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,WLD,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,WLD,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,WLD,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,WLD,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
