year,geo,value,projections,benchmark_low,benchmark_mid,benchmark _high
1990,WLD,2047000,,,,
1995,WLD,2302000,,,,
2000,WLD,2607000,,,,
2005,WLD,2913000,,,,
2010,WLD,3359000,,,,
2011,WLD,3462000,,,,
2012,WLD,3576000,,,,
2013,WLD,3699000,,,,
2014,WLD,3793000,,,,
2015,WLD,3871000,,,,
2016,WLD,3876000,,,,
2017,WLD,3882000,,,,
2018,WLD,3987000,,,,
2019,WLD,4141000,,,,
2030,WLD,,4857100,,3096800,
2050,WLD,,,,1935500,
