year,geo,value
2009,BLZ,35.4113
2010,BLZ,37.0857
2011,BLZ,38.5948
2012,BLZ,37.762
2013,BLZ,40.0245
2014,BLZ,40.4372
2015,BLZ,39.9904
2016,BLZ,39.6407
2017,BLZ,38.5138
2018,BLZ,44.5563
2019,BLZ,39.723
2020,BLZ,45.823
2004,BEN,
2005,BEN,
2006,BEN,
2007,BEN,
2008,BEN,
2009,BEN,
2010,BEN,2.51658
2011,BEN,2.87475
2012,BEN,3.59033
2013,BEN,4.48813
2014,BEN,4.52161
2015,BEN,4.59799
2016,BEN,4.84575
2017,BEN,4.88536
2018,BEN,4.73532
2019,BEN,4.94105
2020,BEN,4.47559
2004,BTN,0.489838
2005,BTN,0.47488
2006,BTN,0.463025
2007,BTN,2.26209
2008,BTN,3.31997
2009,BTN,4.33252
2010,BTN,8.90183
2011,BTN,14.9113
2012,BTN,8.294
2013,BTN,21.1459
2014,BTN,23.7674
2015,BTN,28.7553
2016,BTN,34.8347
2017,BTN,39.4487
2018,BTN,43.9303
2019,BTN,48.0935
2020,BTN,
2004,BOL,
2005,BOL,
2006,BOL,
2007,BOL,13.1065
2008,BOL,14.2571
2009,BOL,16.6867
2010,BOL,19.7937
2011,BOL,24.1945
2012,BOL,27.5445
2013,BOL,31.1009
2014,BOL,34.2992
2015,BOL,37.7685
2016,BOL,39.7017
2017,BOL,39.6569
2018,BOL,40.3817
2019,BOL,42.0423
2020,BOL,42.3078
2004,BIH,
2005,BIH,
2006,BIH,15.7604
2007,BIH,20.8961
2008,BIH,28.7131
2009,BIH,43.2366
2010,BIH,35.1659
2011,BIH,38.9599
2012,BIH,42.1919
2013,BIH,45.6267
2014,BIH,48.31
2015,BIH,51.915
2016,BIH,52.4819
2017,BIH,53.8931
2018,BIH,55.8397
2019,BIH,58.2395
2020,BIH,58.0168
2004,BWA,15.621
2005,BWA,16.7248
2006,BWA,19.8096
2007,BWA,33.1693
2008,BWA,29.9502
2009,BWA,28.6007
2010,BWA,30.2574
2011,BWA,27.965
2012,BWA,27.5551
2013,BWA,29.0492
2014,BWA,30.3152
2015,BWA,33.9798
2016,BWA,33.756
2017,BWA,35.416
2018,BWA,44.5076
2019,BWA,45.0239
2020,BWA,46.9959
2004,BRA,105.073
2005,BRA,108.577
2006,BRA,107.155
2007,BRA,109.339
2008,BRA,111.84
2009,BRA,114.388
2010,BRA,118.059
2011,BRA,116.305
2012,BRA,115.361
2013,BRA,118.437
2014,BRA,117.935
2015,BRA,114.972
2016,BRA,112.1
2017,BRA,107.872
2018,BRA,106.547
2019,BRA,102.744
2020,BRA,96.5551
2004,BRN,34.963
2005,BRN,43.2641
2006,BRN,46.5665
2007,BRN,58.8883
2008,BRN,71.5164
